codigo,fid,id,Direccion,Nombre,Estado,Nombre2,VERIFICADO,SINNOMBRE,FUNCIONAL,icon_url
"3333","5333",,Ambas,,"3",,SI,VERDADERO,,./0.png
"3533","737763",,Ambos,,"3",,SI,VERDADERO,,./0.png
"4343","4343",,AMBOS,CICLOVIA RUBEN DUMOT,"3",JOSE F.ESTIGARRIBIA,SI,FALSO,,./0.png
"5356","3553",,Ambos,RODRIGUEZ DE FRANCIA,"3", CICLOVIA RUBEN DUMOT,SI,FALSO,,./0.png
"5445","54544",,DIRECCION UNICA A MCAL. LOPEZ,SATURIO RIOS,"3",FULGENCIO YEGROS,SI,FALSO,,./0.png
"7363","7363",,Ambos,,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"7676","7676",,AMBAS,CICLOVIA RUBEN DUMOT,"3",PEATONAL FULGENCIO CÁCERES,SI,FALSO,,./0.png
"11109","11111",,AMBAS,,,AV. JOSE F. ESTIGARRIBIA,SI,VERDADERO,,./0.png
"22324","4445",,Ambos,IND. NACIONAL,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"35563","93938",,Ambos,,"3",AV. MCAL. LÓPEZ ,SI,VERDADERO,,./0.png
"52552","55353",,Ambos,,"3",,SI,VERDADERO,,./0.png
"67676","767676",,AMBAS,,"3",,SI,VERDADERO,,./0.png
"76667","8997",,Ambos,VILLA DELFINA,"3",AV. GENERAL H. MORINIGO,SI,FALSO,,./0.png
"545454","54546",,AMBOS,PEATONAL NTRA. SRA. DE LA ASUNCION,"3",DEFENSORES DEL CHACO,SI,FALSO,,./0.png
"737763","37663",,Ambos,,"3",,SI,VERDADERO,,./0.png
"838738","88474",,Ambos,,"3",,SI,VERDADERO,,./0.png
"878787","87878",,AMBAS,SIN NOMBRE*,"3",AV. GRAL. H. MORINIGO,SI,VERDADERO,,./0.png
"989898","89898",,AMBAS,,"3",,SI,VERDADERO,,./0.png
"6656565","6565",,DIRECCION UNICA A MCAL. LOPEZ,SATURIO RIOS,"3",JULIO BÜTTNER,SI,FALSO,,./0.png
"8787877","8787",,AMBOS,DR. EMIL  HASSLER,"3",PEATONAL NTRA. SRA.  DE LA ASUNCION,SI,FALSO,,./0.png
"43434343","5454",,AMBAS,AV. LUIS F. VACHE,"3",PEATONAL FULGENCIO CÁCERES,SI,FALSO,,./0.png
"98989898","989898",,AMBAS,JUAN DE SALAZAR,"3",AV. GRAL H. MORINIGO,SI,,,./0.png
